ID_Cliente,Nome,Endereco,CPF,Sexo,Data_Nascimento,Email,Telefone,Status
1,Ana Sophia Araújo,GO;Goiânia;Parque Amazônia;Praia Freitas,138.460.927-03,Masculino,1978-04-17,guilhermecavalcanti@pereira.com,(62) 90409-5506,Ativo
2,Vitor Hugo da Cruz,GO;Goiânia;Centro;Condomínio de Nascimento,196.025.478-20,Masculino,2007-02-01,matheus23@yahoo.com.br,(62) 98935-2424,Ativo
3,Marcos Vinicius Gonçalves,GO;Goiânia;Vila Brasília;Núcleo de da Cruz,341.670.952-70,Masculino,2002-05-10,marianecampos@gmail.com,(62) 93582-4811,Ativo
4,Dr. Emanuel Fogaça,GO;Aparecida de Goiânia;Centro;Travessa Lopes,503.682.719-86,Masculino,2007-05-03,emillyfarias@rezende.net,(62) 98928-7873,Ativo
5,Pietro Sales,GO;Goiânia;Setor Oeste;Rodovia Sales,894.573.610-75,Masculino,1986-07-02,luiz-miguelcunha@hotmail.com,(62) 96924-6574,Ativo
6,Vitor Gabriel Barros,GO;Aparecida de Goiânia;Vila Brasília;Lago Pinto,840.567.231-17,Masculino,1967-01-15,vitoriapereira@nogueira.br,(62) 91519-7224,Ativo
7,Lorenzo Almeida,GO;Aparecida de Goiânia;Centro;Alameda Enzo Gabriel Moreira,483.126.059-24,Feminino,2008-09-18,claricecavalcanti@ig.com.br,(62) 90711-8527,Ativo
8,Erick Caldeira,GO;Goiânia;Parque Amazônia;Rua Ana Sophia Costa,486.197.253-19,Feminino,1975-12-20,rodriguesdaniel@costela.com,(62) 95925-4150,Inativo
9,Enzo Gabriel Campos,GO;Goiânia;Jardim Goiás;Setor Costela,310.627.895-12,Masculino,1982-08-02,joanadas-neves@cardoso.com,(62) 94741-2307,Trancado
10,Dra. Maria Julia Ribeiro,GO;Aparecida de Goiânia;Setor Bueno;Loteamento de Cavalcanti,659.370.481-48,Feminino,1976-02-11,gda-mota@gmail.com,(62) 97428-6977,Ativo
11,Diogo da Mota,GO;Goiânia;Setor Bueno;Feira da Cunha,731.840.526-80,Feminino,1996-01-27,ana-carolinada-mata@yahoo.com.br,(62) 91169-3803,Ativo
12,Luiza Rocha,GO;Goiânia;Parque Amazônia;Favela Carlos Eduardo Viana,647.238.509-29,Feminino,1974-02-14,da-cunhavitor-hugo@gmail.com,(62) 96216-5422,Cancelado
13,Vinicius Lopes,GO;Aparecida de Goiânia;Jardim Goiás;Chácara de Peixoto,193.704.825-04,Feminino,1963-06-20,hsantos@caldeira.com,(62) 90916-4752,Trancado
14,Maria Luiza Silveira,GO;Aparecida de Goiânia;Setor Bueno;Quadra Castro,462.587.310-07,Feminino,1981-02-08,maria-claralopes@hotmail.com,(62) 91084-4456,Cancelado
15,Luiz Otávio da Rosa,GO;Goiânia;Setor Bueno;Colônia de Cunha,542.387.091-79,Feminino,1994-01-01,samuelcampos@hotmail.com,(62) 96482-8517,Ativo
16,Carlos Eduardo Cavalcanti,GO;Aparecida de Goiânia;Setor Oeste;Loteamento Costela,874.605.319-01,Feminino,1997-03-23,miguel93@da.org,(62) 99577-8019,Trancado
17,Emanuella da Cruz,GO;Goiânia;Centro;Lagoa Moreira,280.694.137-78,Masculino,1989-08-23,correiadavi-lucas@ig.com.br,(62) 92266-9348,Ativo
18,João Gabriel da Rocha,GO;Aparecida de Goiânia;Jardim Goiás;Esplanada Valentina Cavalcanti,296.018.347-96,Masculino,2005-12-28,moraesstella@da.net,(62) 92621-7916,Ativo
19,Alícia Ribeiro,GO;Goiânia;Parque Amazônia;Setor de Melo,654.902.731-43,Feminino,1974-09-18,tmonteiro@das.net,(62) 98669-5119,Cancelado
20,Carlos Eduardo Ferreira,GO;Aparecida de Goiânia;Centro;Área Marina Pinto,596.470.328-38,Masculino,1971-09-24,cavalcantijuliana@uol.com.br,(62) 98797-5371,Inativo
21,Luiz Henrique Teixeira,GO;Aparecida de Goiânia;Vila Brasília;Parque de da Luz,846.237.105-80,Feminino,2006-04-26,ana-julia15@costa.org,(62) 97123-3591,Ativo
22,Maria Fernanda Jesus,GO;Aparecida de Goiânia;Parque Amazônia;Feira Lima,739.651.042-25,Masculino,1987-03-19,murilo36@rezende.br,(62) 98317-2743,Trancado
23,Eduardo da Conceição,GO;Goiânia;Vila Brasília;Vila Silveira,679.180.453-00,Masculino,1961-03-29,brunacardoso@peixoto.net,(62) 92504-7126,Inativo
24,Ana Beatriz Farias,GO;Aparecida de Goiânia;Setor Oeste;Recanto Porto,957.486.321-28,Feminino,1967-11-02,beatrizsouza@bol.com.br,(62) 98005-1319,Ativo
25,Vitor Gabriel Farias,GO;Goiânia;Centro;Parque da Costa,143.265.078-53,Masculino,2002-12-21,rduarte@uol.com.br,(62) 90949-4946,Trancado
26,Srta. Ana Clara Peixoto,GO;Goiânia;Parque Amazônia;Parque Ana Beatriz Teixeira,690.843.571-75,Feminino,1987-04-25,dpeixoto@hotmail.com,(62) 91133-9727,Inativo
27,Dra. Maria Cecília das Neves,GO;Aparecida de Goiânia;Setor Bueno;Via Pereira,279.460.385-00,Feminino,1992-10-20,ana-julia70@mendes.br,(62) 99007-3705,Ativo
28,Lucas Gabriel da Mata,GO;Aparecida de Goiânia;Jardim Goiás;Setor de Barros,596.237.018-02,Masculino,1962-12-31,nmartins@uol.com.br,(62) 95107-7537,Cancelado
29,Sr. Pietro Campos,GO;Aparecida de Goiânia;Centro;Lagoa Cavalcanti,713.952.406-80,Feminino,2003-12-06,fariasjoao@da.com,(62) 91982-5061,Ativo
30,Alice Lima,GO;Goiânia;Setor Bueno;Setor Ana Clara Moura,314.657.029-70,Masculino,1998-10-05,eda-paz@bol.com.br,(62) 99641-4608,Ativo
31,Luiz Fernando Mendes,GO;Goiânia;Setor Oeste;Praça Nicole Fogaça,726.154.839-19,Masculino,1960-06-09,bcavalcanti@yahoo.com.br,(62) 90514-6413,Ativo
32,Sr. Bryan Freitas,GO;Aparecida de Goiânia;Setor Bueno;Aeroporto de Silveira,735.629.481-82,Feminino,1990-04-03,vnascimento@sales.com,(62) 93510-9834,Ativo
33,Bruno Duarte,GO;Aparecida de Goiânia;Setor Oeste;Viaduto Isadora Moura,790.821.356-12,Feminino,2008-07-30,sduarte@uol.com.br,(62) 96669-4119,Ativo
34,Maria Clara Souza,GO;Goiânia;Parque Amazônia;Favela Rocha,431.572.098-41,Feminino,1982-12-21,thales74@yahoo.com.br,(62) 96735-8651,Trancado
35,Thiago Souza,GO;Goiânia;Setor Bueno;Sítio Gonçalves,524.097.136-61,Masculino,2000-03-10,da-motanicolas@hotmail.com,(62) 90993-7596,Inativo
36,Srta. Maysa Rodrigues,GO;Aparecida de Goiânia;Setor Bueno;Distrito Jesus,471.603.952-80,Masculino,1966-07-23,brenda77@da.com,(62) 93116-9786,Ativo
37,Felipe Costa,GO;Goiânia;Jardim Goiás;Colônia de da Rocha,794.683.250-83,Feminino,1997-07-21,sophiesilveira@uol.com.br,(62) 97579-5092,Trancado
38,Clara Ferreira,GO;Goiânia;Setor Bueno;Viela Dias,794.012.835-32,Masculino,2004-07-09,luccada-luz@da.br,(62) 90828-9856,Trancado
39,Yuri da Paz,GO;Aparecida de Goiânia;Centro;Vila Otávio Nunes,024.756.819-85,Masculino,1988-07-04,liviada-costa@da.com,(62) 96658-8956,Ativo
40,Luiz Fernando Viana,GO;Aparecida de Goiânia;Jardim Goiás;Área de da Luz,540.718.629-20,Masculino,1993-03-07,barbosaana-julia@ig.com.br,(62) 96209-1035,Cancelado
41,Manuela Pires,GO;Aparecida de Goiânia;Setor Bueno;Viaduto Alana Vieira,591.672.348-28,Feminino,1978-07-04,frodrigues@monteiro.br,(62) 96930-8973,Ativo
42,Lorenzo Carvalho,GO;Aparecida de Goiânia;Centro;Praia de Barros,876.014.235-90,Masculino,1980-12-24,enzo68@gmail.com,(62) 99489-9883,Ativo
43,Gabriel Vieira,GO;Goiânia;Centro;Quadra Costa,932.740.856-00,Masculino,1968-06-29,hrodrigues@gmail.com,(62) 99571-8811,Ativo
44,Brenda Sales,GO;Goiânia;Jardim Goiás;Loteamento Valentina Santos,782.314.506-53,Masculino,2008-05-05,amanda77@hotmail.com,(62) 93044-2122,Ativo
45,Alexandre Gomes,GO;Goiânia;Vila Brasília;Feira de Nogueira,758.463.910-01,Masculino,2008-12-26,cda-costa@bol.com.br,(62) 99333-5033,Ativo
46,Yago Oliveira,GO;Aparecida de Goiânia;Setor Bueno;Rua Ramos,270.145.986-94,Masculino,1962-07-19,ynascimento@ig.com.br,(62) 96868-9565,Ativo
47,Thiago da Conceição,GO;Aparecida de Goiânia;Jardim Goiás;Vereda Gomes,156.283.074-08,Feminino,1987-06-24,ribeirostephany@mendes.br,(62) 93910-5351,Ativo
48,Vinicius Carvalho,GO;Goiânia;Centro;Viela de da Mata,504.263.187-90,Feminino,1989-02-09,piresisaac@araujo.com,(62) 91188-1152,Ativo
49,Davi Cardoso,GO;Aparecida de Goiânia;Centro;Praia Monteiro,749.250.318-05,Masculino,2001-01-20,ceciliada-conceicao@hotmail.com,(62) 98288-5345,Ativo
50,Fernanda Pereira,GO;Aparecida de Goiânia;Vila Brasília;Viaduto Novaes,713.942.568-09,Masculino,2006-07-21,mjesus@uol.com.br,(62) 96054-5669,Ativo
51,André Barros,GO;Goiânia;Setor Bueno;Praia Bernardo Moreira,394.561.028-15,Masculino,2000-11-04,sophie39@yahoo.com.br,(62) 99086-5905,Cancelado
52,Srta. Ana Laura Gonçalves,GO;Goiânia;Setor Oeste;Quadra Cardoso,584.612.397-09,Feminino,1981-10-23,joaocostela@bol.com.br,(62) 91891-2753,Inativo
53,Vitor Gabriel das Neves,GO;Goiânia;Parque Amazônia;Viela Dias,817.256.349-37,Feminino,2005-08-08,diego60@yahoo.com.br,(62) 99909-4450,Inativo
54,Alice Martins,GO;Goiânia;Centro;Quadra Vicente Viana,208.937.456-00,Feminino,2001-02-03,rezendemariana@oliveira.com,(62) 98280-9004,Ativo
55,Maria Sophia da Costa,GO;Goiânia;Parque Amazônia;Estrada Felipe Ramos,735.092.461-52,Feminino,1987-10-24,roliveira@moura.br,(62) 94533-1722,Ativo
56,Rafael da Rosa,GO;Aparecida de Goiânia;Vila Brasília;Setor Fernandes,938.214.057-32,Feminino,2003-03-31,meloluigi@da.net,(62) 92647-8239,Ativo
57,Carlos Eduardo Araújo,GO;Goiânia;Vila Brasília;Praia Stella Moreira,402.539.876-10,Masculino,1968-07-18,vitoria39@aragao.com,(62) 91832-2232,Cancelado
58,Maria Sophia Cavalcanti,GO;Goiânia;Setor Oeste;Trevo Gustavo Campos,768.503.492-10,Masculino,1990-05-03,silveiraotavio@araujo.com,(62) 96049-3426,Ativo
59,Guilherme Vieira,GO;Goiânia;Parque Amazônia;Pátio Mendes,861.950.732-02,Feminino,2008-01-15,ssouza@uol.com.br,(62) 90653-6862,Ativo
60,Juliana Peixoto,GO;Goiânia;Setor Bueno;Sítio de Melo,198.036.245-98,Masculino,2009-03-24,ana-clara54@da.br,(62) 95794-7658,Cancelado
61,Ana Vitória Oliveira,GO;Aparecida de Goiânia;Jardim Goiás;Núcleo de Correia,513.897.604-48,Masculino,1983-08-22,gomesjulia@yahoo.com.br,(62) 92900-7755,Ativo
62,Murilo das Neves,GO;Goiânia;Jardim Goiás;Rua da Rosa,028.453.967-83,Masculino,1988-10-11,benicio24@mendes.br,(62) 94371-3608,Inativo
63,Kamilly Ramos,GO;Aparecida de Goiânia;Setor Oeste;Ladeira Leandro Silva,901.235.467-61,Masculino,1982-10-11,pedro-henrique59@barros.com,(62) 97711-4644,Ativo
64,João Felipe Pinto,GO;Goiânia;Jardim Goiás;Jardim Gonçalves,036.495.187-75,Feminino,1967-02-15,qsouza@yahoo.com.br,(62) 93728-4652,Ativo
65,Sr. Alexandre Sales,GO;Aparecida de Goiânia;Setor Oeste;Vereda de Peixoto,069.372.841-87,Feminino,1988-11-18,vitor-hugoteixeira@santos.br,(62) 94564-2137,Cancelado
66,Carlos Eduardo Nunes,GO;Goiânia;Setor Oeste;Chácara de Novaes,516.708.324-90,Feminino,1960-12-30,laviniaramos@ig.com.br,(62) 98785-6425,Cancelado
67,Vinicius Mendes,GO;Aparecida de Goiânia;Setor Oeste;Jardim da Paz,183.625.904-24,Masculino,1974-08-28,davi-lucassilva@ig.com.br,(62) 99512-5349,Ativo
68,Otávio da Costa,GO;Goiânia;Setor Oeste;Rodovia Danilo Lima,527.039.816-86,Feminino,2004-03-08,sophiasales@porto.br,(62) 97149-9379,Ativo
69,Lavínia Azevedo,GO;Goiânia;Setor Oeste;Trevo Bruna Santos,867.490.325-83,Masculino,1963-06-14,davi-lucas19@bol.com.br,(62) 97144-1027,Ativo
70,Benício Porto,GO;Goiânia;Parque Amazônia;Parque Alice Mendes,037.845.162-62,Feminino,1966-08-15,santoslivia@hotmail.com,(62) 91146-6409,Ativo
71,Maria Vitória Barros,GO;Aparecida de Goiânia;Jardim Goiás;Viaduto de da Conceição,648.597.130-01,Feminino,2002-07-05,melodiogo@bol.com.br,(62) 98308-6067,Ativo
72,Dr. Pietro Novaes,GO;Aparecida de Goiânia;Parque Amazônia;Fazenda Cunha,850.261.439-89,Feminino,1968-05-09,helena65@souza.br,(62) 99083-3085,Ativo
73,Breno Gonçalves,GO;Goiânia;Setor Oeste;Praia de Dias,297.038.154-05,Masculino,1966-06-17,sofia92@da.com,(62) 99324-5930,Ativo
74,Eduarda Lima,GO;Aparecida de Goiânia;Jardim Goiás;Recanto de Moura,896.174.530-10,Feminino,1991-06-30,maria-fernanda97@gomes.br,(62) 93443-8043,Inativo
75,Ana Lívia Silveira,GO;Goiânia;Parque Amazônia;Passarela Santos,826.013.975-86,Feminino,1968-01-23,da-cruzmarcelo@uol.com.br,(62) 97244-4501,Ativo
76,Sr. João Pedro Cardoso,GO;Aparecida de Goiânia;Centro;Alameda Fernandes,047.513.829-50,Masculino,1985-02-02,lopeseduardo@da.com,(62) 94649-9445,Ativo
77,Davi Lucas Vieira,GO;Goiânia;Centro;Trevo Esther Aragão,103.754.682-26,Masculino,2009-01-24,gomeslucas@yahoo.com.br,(62) 95085-4680,Trancado
78,Maitê Duarte,GO;Goiânia;Jardim Goiás;Vereda Nogueira,215.047.689-49,Masculino,2008-06-22,ana-clara09@duarte.br,(62) 94011-8784,Ativo
79,Dr. Vinicius Aragão,GO;Aparecida de Goiânia;Jardim Goiás;Estação de Cunha,589.671.324-09,Feminino,1983-11-17,lucca19@cunha.com,(62) 99431-4185,Inativo
80,Theo Ramos,GO;Goiânia;Centro;Morro Stella Barros,546.783.209-38,Feminino,1962-02-04,bryanda-paz@gmail.com,(62) 93997-3417,Ativo
81,Helena Fogaça,GO;Aparecida de Goiânia;Centro;Praça Cardoso,652.389.741-91,Feminino,1968-01-18,vnunes@uol.com.br,(62) 93585-3881,Trancado
82,Maria da Mata,GO;Aparecida de Goiânia;Parque Amazônia;Praia Bruno Moraes,497.853.126-82,Masculino,1996-09-11,emanuel15@ig.com.br,(62) 91988-8478,Ativo
83,Larissa Freitas,GO;Aparecida de Goiânia;Setor Bueno;Distrito de Porto,021.758.469-11,Feminino,2003-02-04,nunesthomas@araujo.br,(62) 97251-9270,Ativo
84,Dr. Leonardo Cardoso,GO;Aparecida de Goiânia;Vila Brasília;Vale Gomes,786.402.931-04,Feminino,1998-08-19,agatha54@correia.com,(62) 97373-5246,Inativo
85,Sra. Catarina Costa,GO;Aparecida de Goiânia;Setor Bueno;Estrada Cunha,514.289.630-06,Feminino,1968-10-24,tda-luz@carvalho.br,(62) 93919-5499,Ativo
86,Luiz Felipe Araújo,GO;Goiânia;Setor Bueno;Largo Cardoso,194.356.780-84,Feminino,1984-02-20,ivieira@bol.com.br,(62) 95502-6238,Trancado
87,Letícia Silveira,GO;Goiânia;Centro;Rua Miguel Cardoso,182.795.630-59,Masculino,1983-01-08,sofiacostela@santos.com,(62) 93788-7275,Ativo
88,Eduardo Vieira,GO;Aparecida de Goiânia;Centro;Pátio de Araújo,908.764.235-00,Feminino,1978-04-03,laura81@da.br,(62) 96678-6421,Ativo
89,Marina Viana,GO;Goiânia;Vila Brasília;Quadra Juan Mendes,647.059.132-99,Masculino,1979-04-16,zfarias@ig.com.br,(62) 96883-7381,Cancelado
90,Bianca Lopes,GO;Aparecida de Goiânia;Jardim Goiás;Colônia Barros,815.930.264-98,Feminino,2008-06-18,alana25@bol.com.br,(62) 97814-1096,Cancelado
91,João Pedro Peixoto,GO;Goiânia;Jardim Goiás;Morro de Barros,470.839.562-00,Feminino,1976-06-21,isabelly53@sales.br,(62) 98818-9947,Inativo
92,Gustavo Henrique Sales,GO;Aparecida de Goiânia;Setor Oeste;Sítio de da Mota,245.639.017-25,Masculino,2000-03-28,esther01@uol.com.br,(62) 94471-8140,Ativo
93,Dr. Breno Nogueira,GO;Goiânia;Jardim Goiás;Rodovia de Nunes,165.824.703-53,Feminino,1993-11-22,lais91@hotmail.com,(62) 92704-8657,Cancelado
94,Amanda Barbosa,GO;Aparecida de Goiânia;Setor Bueno;Alameda Vicente Melo,264.798.351-82,Masculino,1962-03-24,bruna87@silva.br,(62) 91375-8022,Ativo
95,Ana Sophia Peixoto,GO;Aparecida de Goiânia;Setor Oeste;Travessa Correia,930.481.572-04,Masculino,1999-04-19,ribeiroluiz-miguel@ig.com.br,(62) 94262-7211,Ativo
96,Anthony Pires,GO;Aparecida de Goiânia;Setor Oeste;Recanto de Souza,870.514.623-26,Feminino,1980-12-03,aliciada-rocha@uol.com.br,(62) 96211-5558,Inativo
97,Gabrielly da Luz,GO;Goiânia;Setor Oeste;Residencial de Lopes,394.721.560-61,Masculino,1990-11-09,maria-fernanda49@uol.com.br,(62) 97705-1317,Inativo
98,Isabel Freitas,GO;Goiânia;Setor Bueno;Vila de Fogaça,574.931.826-55,Masculino,1979-03-01,wnovaes@goncalves.com,(62) 91124-1659,Inativo
99,Calebe Duarte,GO;Goiânia;Vila Brasília;Via João Gomes,712.048.395-14,Masculino,1976-01-29,luizadias@castro.br,(62) 92496-4908,Ativo
100,Dr. Pedro Caldeira,GO;Goiânia;Vila Brasília;Via Fernanda Souza,408.295.716-20,Masculino,1965-08-31,da-luzamanda@azevedo.com,(62) 97619-5198,Inativo
101,Beatriz Santos,GO;Goiânia;Setor Oeste;Vale Nunes,742.059.836-38,Masculino,1991-06-05,enzo-gabrielmelo@hotmail.com,(62) 92683-6096,Ativo
102,Maitê Martins,GO;Goiânia;Centro;Trecho Mirella Alves,530.281.946-51,Feminino,1965-06-24,da-mataguilherme@uol.com.br,(62) 96498-4249,Ativo
103,Pietro Moreira,GO;Goiânia;Setor Oeste;Distrito Ana Vitória Moura,841.526.709-67,Feminino,2006-09-20,costabianca@da.br,(62) 99837-2983,Inativo
104,Pietra Vieira,GO;Aparecida de Goiânia;Centro;Largo Silveira,190.645.827-85,Feminino,1991-08-14,maria-juliacardoso@souza.br,(62) 96071-2129,Ativo
105,Ana Sophia da Rocha,GO;Aparecida de Goiânia;Parque Amazônia;Alameda de Novaes,726.340.981-03,Feminino,2008-05-13,silvaana-livia@gmail.com,(62) 98031-2729,Ativo
106,Alexandre da Rosa,GO;Aparecida de Goiânia;Vila Brasília;Parque Vitor Gabriel Cardoso,704.315.692-07,Feminino,1998-12-07,pereiraryan@viana.com,(62) 92506-8135,Ativo
107,Mirella Viana,GO;Aparecida de Goiânia;Setor Oeste;Parque de Dias,823.605.917-03,Feminino,1968-08-17,da-luzesther@uol.com.br,(62) 97616-8136,Trancado
108,Lorenzo Monteiro,GO;Goiânia;Jardim Goiás;Área Nunes,603.185.497-00,Masculino,1970-02-18,mirellacorreia@gmail.com,(62) 91419-5569,Trancado
109,Daniela Viana,GO;Aparecida de Goiânia;Setor Bueno;Viela de Pereira,283.795.046-74,Feminino,1974-05-13,claragoncalves@lopes.org,(62) 95511-1470,Ativo
110,Luna Barros,GO;Aparecida de Goiânia;Setor Oeste;Distrito de Rezende,462.893.105-42,Feminino,1983-01-06,maria66@hotmail.com,(62) 93475-6813,Inativo
111,Matheus Oliveira,GO;Goiânia;Centro;Viaduto de da Rosa,183.027.645-07,Feminino,1987-12-03,qfarias@melo.br,(62) 99106-1166,Ativo
112,Cecília Melo,GO;Goiânia;Parque Amazônia;Jardim Thiago Silva,635.928.471-55,Masculino,1980-03-17,joao-miguelcosta@farias.net,(62) 96658-9004,Ativo
113,Letícia Castro,GO;Goiânia;Setor Oeste;Loteamento Dias,032.974.816-50,Feminino,2008-09-26,juan55@uol.com.br,(62) 98041-8342,Inativo
114,Maria Fernanda Farias,GO;Aparecida de Goiânia;Jardim Goiás;Área de Cardoso,259.184.307-41,Masculino,1993-07-22,sarah77@uol.com.br,(62) 96625-4986,Ativo
115,Ana Beatriz Almeida,GO;Aparecida de Goiânia;Setor Oeste;Alameda Souza,507.938.421-23,Feminino,1987-08-23,danielda-costa@da.br,(62) 96971-6419,Ativo
116,Sra. Maria Alice Gomes,GO;Goiânia;Setor Oeste;Núcleo Nunes,238.469.517-73,Feminino,1960-09-29,enricocastro@bol.com.br,(62) 94118-4777,Ativo
117,Maria Fernanda Farias,GO;Aparecida de Goiânia;Setor Oeste;Loteamento de Castro,870.591.642-94,Masculino,2007-01-09,maria-luiza10@nunes.br,(62) 98779-4033,Ativo
118,Amanda Dias,GO;Aparecida de Goiânia;Setor Bueno;Passarela de Cardoso,902.678.154-76,Feminino,1973-12-18,bryan14@bol.com.br,(62) 91647-4180,Ativo
119,Davi Lucca Duarte,GO;Goiânia;Centro;Alameda Luana Fogaça,501.378.269-40,Feminino,1998-02-21,vitor21@bol.com.br,(62) 90231-9751,Ativo
120,Luiza Dias,GO;Goiânia;Vila Brasília;Vereda Henrique Nogueira,614.980.753-39,Feminino,1983-10-16,rda-mata@bol.com.br,(62) 92068-9042,Ativo
121,Dr. Calebe Carvalho,GO;Goiânia;Centro;Morro Vieira,129.735.408-79,Feminino,1959-12-07,wmoreira@yahoo.com.br,(62) 97690-8843,Ativo
122,Noah Martins,GO;Aparecida de Goiânia;Jardim Goiás;Ladeira Ana Beatriz Jesus,294.863.105-05,Feminino,1985-10-17,alicia61@silveira.br,(62) 97827-2869,Trancado
123,Valentina Cardoso,GO;Aparecida de Goiânia;Centro;Parque de Melo,937.012.654-61,Masculino,1984-02-25,milenasales@bol.com.br,(62) 99453-1878,Ativo
124,Helena Pinto,GO;Goiânia;Vila Brasília;Passarela Thomas Correia,654.893.172-64,Masculino,2003-11-18,pedro93@lopes.com,(62) 91940-7818,Ativo
125,Catarina Viana,GO;Aparecida de Goiânia;Setor Oeste;Trevo Bárbara Nunes,724.186.390-96,Feminino,1971-10-28,cda-rocha@campos.br,(62) 97381-8253,Ativo
126,Lívia Peixoto,GO;Goiânia;Parque Amazônia;Fazenda Daniela Silveira,206.793.845-29,Masculino,1996-07-28,mariana89@cavalcanti.br,(62) 99988-2625,Cancelado
127,Maria Luiza das Neves,GO;Goiânia;Vila Brasília;Condomínio da Conceição,982.703.516-95,Masculino,1989-11-29,xrezende@ig.com.br,(62) 94335-2330,Ativo
128,Dr. Joaquim Ramos,GO;Aparecida de Goiânia;Setor Oeste;Esplanada de Farias,751.208.493-50,Masculino,1973-08-27,bruna17@ig.com.br,(62) 92564-1043,Ativo
129,Camila Vieira,GO;Aparecida de Goiânia;Centro;Aeroporto Mariane da Rosa,296.304.178-04,Masculino,1970-06-23,orezende@uol.com.br,(62) 93792-5720,Inativo
