ID_funcionario,Nome,Genero,CPF,Telefone,Email,Endereco,Cargo,Estado_civil,Data_Nascimento,Data_admissao,Data_demissao,ID_Departamento,ID_Unidade
1,Rafaela Ramos,Feminino,429.875.106-67,(62) 91486-9409,omonteiro@uol.com.br,GO;Aparecida de Goiânia;Setor Bueno;Passarela Oliveira,Recepcionista,Viúvo(a),1998-12-02,2020-01-05,2025-02-22,3,1
2,Rodrigo Melo,Masculino,368.954.102-60,(62) 98471-4054,novaesfelipe@cavalcanti.com,GO;Goiânia;Jardim Goiás;Feira Otávio Barbosa,Faxineiro,Divorciado(a),1978-09-10,2025-01-05,2025-04-01,3,5
3,Eduardo Cavalcanti,Feminino,510.739.246-61,(62) 99640-1554,ana-carolinacunha@costa.net,GO;Goiânia;Setor Oeste;Rua de Moreira,Consultor de Vendas,Divorciado(a),1977-10-11,2016-10-20,2018-09-05,1,2
4,Dr. Yago Duarte,Feminino,971.238.604-03,(62) 97790-6483,nascimentosophie@alves.br,GO;Goiânia;Setor Oeste;Feira Nascimento,Recepcionista,Divorciado(a),1988-08-13,2016-08-04,2021-07-09,3,2
5,Alícia da Conceição,Feminino,628.734.105-07,(62) 98958-4050,ana-claracastro@mendes.com,GO;Aparecida de Goiânia;Centro;Avenida Souza,Administrativo,Viúvo(a),1984-04-02,2016-02-22,2017-06-16,5,5
6,Dr. Paulo Sales,Feminino,062.548.931-42,(62) 96542-8759,ana-carolinasouza@uol.com.br,GO;Aparecida de Goiânia;Setor Bueno;Núcleo Caio Teixeira,Consultor de Vendas,Divorciado(a),1979-03-04,2022-09-14,2025-01-19,5,3
7,Vitor Hugo Novaes,Feminino,821.903.745-88,(62) 96572-5918,rcardoso@aragao.com,GO;Goiânia;Centro;Distrito de Araújo,Administrativo,Solteiro(a),1968-02-14,2021-05-20,2024-12-23,4,4
8,Dra. Julia da Luz,Feminino,607.851.243-90,(62) 99461-7565,tsilveira@bol.com.br,GO;Goiânia;Vila Brasília;Vale de da Cunha,Recepcionista,Casado(a),1968-11-15,2019-07-05,2020-12-08,3,5
9,Daniela Teixeira,Masculino,152.946.803-51,(62) 99305-3286,luiz-gustavo01@farias.org,GO;Aparecida de Goiânia;Setor Bueno;Núcleo Nathan Duarte,Instrutor,Solteiro(a),1970-05-21,2024-03-08,2025-04-29,3,2
10,Valentina Lima,Feminino,547.809.326-29,(62) 97515-7487,zda-rosa@uol.com.br,GO;Aparecida de Goiânia;Setor Bueno;Rua de Duarte,Instrutor,Casado(a),1997-02-09,2021-07-16,2023-01-25,2,2
11,Milena Moreira,Feminino,045.816.379-10,(62) 95038-2316,crezende@da.br,GO;Goiânia;Setor Bueno;Colônia Cardoso,Recepcionista,Viúvo(a),1980-01-11,2021-09-29,2024-03-29,1,2
12,Dra. Agatha Gomes,Masculino,398.027.416-04,(62) 99098-7131,cardosopedro-henrique@araujo.com,GO;Aparecida de Goiânia;Centro;Viela de da Paz,Recepcionista,Divorciado(a),1978-10-15,2021-02-20,2022-09-19,1,4
13,Leandro da Cunha,Feminino,260.541.789-11,(62) 93481-8738,onunes@correia.org,GO;Aparecida de Goiânia;Parque Amazônia;Sítio da Costa,Faxineiro,Casado(a),1977-07-12,2017-05-15,2017-06-08,1,4
14,Lucas Cardoso,Masculino,714.236.085-26,(62) 95215-3187,vieiradanilo@bol.com.br,GO;Aparecida de Goiânia;Jardim Goiás;Aeroporto de Almeida,Gerente,Viúvo(a),1987-03-22,2022-08-09,2024-06-24,5,4
15,Pedro Miguel Moraes,Masculino,263.948.015-42,(62) 95683-9000,joao-guilherme41@araujo.com,GO;Goiânia;Parque Amazônia;Parque de Rocha,Recepcionista,Casado(a),1971-03-28,2016-07-02,2023-04-02,2,3
16,Giovanna Pereira,Feminino,024.715.863-17,(62) 95568-9215,davi-lucca49@gmail.com,GO;Aparecida de Goiânia;Centro;Recanto Davi Luiz Sales,Instrutor,Casado(a),1987-07-10,2018-11-02,2020-02-14,2,4
17,Theo Sales,Masculino,975.130.286-21,(62) 90724-4460,pvieira@rocha.br,GO;Aparecida de Goiânia;Setor Oeste;Chácara Campos,Instrutor,Divorciado(a),1982-02-21,2018-05-05,2024-06-29,4,2
