ID_aula,ID_modalidade,Data_aula,Horario_inicio,Instrutor,Lotacao,Presencas,ID_unidade
1,1,2025-06-06,10:00:00,Ana Sophia da Costa,15,11,2
2,4,2025-06-19,07:00:00,Daniela Ferreira,12,5,3
3,5,2025-05-18,09:00:00,João Pinto,12,5,2
4,2,2025-06-06,17:00:00,Thomas Azevedo,15,15,5
5,5,2025-04-02,08:00:00,Heitor Costela,12,7,4
6,4,2025-05-24,16:00:00,Breno Cardoso,12,5,4
7,1,2025-05-30,10:00:00,Joana Silveira,15,5,5
8,5,2025-06-19,08:00:00,Dra. Evelyn Gonçalves,12,7,1
9,3,2025-05-02,16:00:00,Marcela Melo,15,9,4
10,1,2025-05-20,09:00:00,Luiz Miguel Caldeira,15,13,3
11,3,2025-04-04,10:00:00,Stella da Mata,15,13,2
12,2,2025-05-30,17:00:00,Emanuella da Cunha,15,9,1
13,3,2025-05-26,08:00:00,Heitor Costela,15,8,5
14,3,2025-04-18,17:00:00,Maria Duarte,15,14,3
15,1,2025-06-17,15:00:00,Otávio Nogueira,15,13,3
16,2,2025-05-11,17:00:00,Ana Sophia da Costa,15,11,3
17,2,2025-04-17,07:00:00,Heitor Teixeira,15,8,2
18,4,2025-06-21,15:00:00,Daniela Ferreira,12,10,1
19,5,2025-06-14,10:00:00,Maria Cecília Martins,12,5,1
20,2,2025-05-25,07:00:00,Heitor Costela,15,8,1
21,1,2025-04-18,15:00:00,Ana Sophia da Costa,15,14,5
22,5,2025-07-03,16:00:00,Maria Duarte,12,7,3
23,5,2025-04-10,15:00:00,Emanuella da Cunha,12,9,3
24,3,2025-04-10,10:00:00,João Pinto,15,14,1
25,3,2025-04-12,16:00:00,Heitor Teixeira,15,15,5
26,5,2025-05-12,08:00:00,Thomas Azevedo,12,10,2
27,3,2025-05-12,15:00:00,Maria Cecília Martins,15,13,3
28,5,2025-06-24,07:00:00,Alice Moreira,12,12,2
29,4,2025-07-22,15:00:00,Lucca Martins,12,10,5
30,1,2025-04-03,17:00:00,Lucca Martins,15,11,1
31,5,2025-05-19,15:00:00,Otávio Nogueira,12,6,1
32,3,2025-06-24,15:00:00,Ana Sophia da Costa,15,15,4
33,3,2025-05-21,07:00:00,Dra. Evelyn Gonçalves,15,7,2
34,3,2025-04-24,18:00:00,Joana Silveira,15,10,5
35,1,2025-04-22,10:00:00,Alice Moreira,15,5,1
36,2,2025-04-25,18:00:00,Dra. Evelyn Gonçalves,15,7,5
37,5,2025-04-07,15:00:00,Dra. Evelyn Gonçalves,12,10,5
38,2,2025-06-21,18:00:00,Dra. Evelyn Gonçalves,15,8,2
39,4,2025-06-15,09:00:00,Luiz Miguel Caldeira,12,12,1
40,2,2025-04-04,18:00:00,Dra. Evelyn Gonçalves,15,6,5
41,5,2025-06-11,10:00:00,Maria Duarte,12,10,5
42,3,2025-07-06,08:00:00,Maria Duarte,15,8,3
43,5,2025-04-05,17:00:00,Sarah Dias,12,10,4
44,1,2025-07-12,16:00:00,João Pinto,15,5,5
45,1,2025-06-02,08:00:00,Ana Sophia da Costa,15,7,2
46,5,2025-06-20,15:00:00,Heitor Costela,12,12,5
47,2,2025-07-24,07:00:00,Sarah Dias,15,9,5
48,2,2025-04-01,18:00:00,Breno Cardoso,15,11,5
49,1,2025-04-25,07:00:00,Luiz Miguel Caldeira,15,7,3
50,4,2025-07-17,08:00:00,Breno Cardoso,12,8,3
51,4,2025-07-21,16:00:00,Heitor Costela,12,11,1
52,5,2025-04-18,09:00:00,Joana Silveira,12,8,3
53,1,2025-07-30,17:00:00,Sarah Dias,15,5,5
54,2,2025-07-05,16:00:00,Breno Cardoso,15,12,2
